Date (GMT+1),Market,Direction,Margin,$ Before,$ After,P/L,Setup,TP/SL,W/L,Type,Risk,Confluence,Leverage,Rating
"Jun 5, 2025 - 1:50 PM",BTCUSDT.P,LONG,$200.00,"$2,436.00","$2,691.00",$255.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 6, 2025 - 9:32 AM",XMRUSDT.P,LONG,$200.00,"$2,824.00","$3,004.00",$180.00,"EMA, Fib, PA",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 5, 2025 - 10:06 PM",AAVEUSDT.P,LONG,$180.00,"$2,816.00","$2,824.00",$9.00,PA only,No,W,Scalp,4:1,1,25,🔴 C Tier
"Jun 6, 2025 - 12:28 PM",BNBUSDT.P,LONG,$250.00,"$3,125.00","$3,226.00",$101.00,"EMA, Fib, S/R",Yes,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 6, 2025 - 10:21 AM",ETHUSDT.P,LONG,$200.00,"$3,004.00","$3,125.00",$121.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 5, 2025 - 2:00 AM",ADAUSDT.P,LONG,$150.00,"$2,215.00","$2,274.00",$59.00,"Fib, PA, RSI",No,W,Scalp,4:1,3,25,🟡 B+ Tier
"Jun 5, 2025 - 6:08 AM",ETHUSDT.P,LONG,$200.00,"$2,274.00","$2,436.00",$162.00,"EMA, PA, S/R",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 6, 2025 - 1:30 PM",SOLUSDT.P,LONG,$200.00,"$3,226.00","$3,407.00",$182.00,"EMA, Fib, PA",Yes,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 4, 2025 - 9:41 PM",ETHUSDT.P,SHORT,$200.00,"$2,000.00","$2,215.00",$215.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 5, 2025 - 1:56 PM",XMRUSDT.P,SHORT,$200.00,"$2,691.00","$2,816.00",$125.00,"EMA, PA, S/R",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
